Date,Open,Day Low,Day High,Close,Volume
4/1/2022,4540.32,4507.57,4548.7,4545.86,0
3/1/2022,4363.14,4157.87,4637.3,4530.41,61933208000
2/1/2022,4519.57,4114.65,4595.31,4373.94,50653703000
1/1/2022,4778.14,4222.62,4818.62,4515.55,54612067000
12/1/2021,4602.82,4495.12,4808.93,4766.18,49779279000
11/1/2021,4610.62,4560,4743.83,4567,47188041000
10/1/2021,4317.16,4278.94,4608.08,4605.38,41734570000
9/1/2021,4528.8,4305.91,4545.85,4307.54,43063851000
8/1/2021,4406.86,4367.73,4537.36,4522.68,40953482000
7/1/2021,4300.73,4233.13,4429.97,4395.26,41950747000
6/1/2021,4216.52,4164.4,4302.43,4297.5,45608524000
5/1/2021,4191.98,4056.88,4238.04,4204.11,44739836000
4/1/2021,3992.78,3992.78,4218.78,4181.17,44569620000
3/1/2021,3842.51,3723.34,3994.41,3972.89,61183741000
2/1/2021,3731.17,3725.62,3950.43,3811.15,45312810000
1/1/2021,3764.61,3662.71,3870.9,3714.24,51314664000
12/1/2020,3645.87,3633.4,3760.2,3756.07,50012214000
11/1/2020,3296.2,3279.74,3645.99,3621.63,53533033000
10/1/2020,3385.87,3233.94,3549.85,3269.96,51333971000
9/1/2020,3507.44,3209.45,3588.11,3363,55234683000
8/1/2020,3288.26,3284.53,3514.77,3500.31,46125741000
7/1/2020,3105.92,3101.17,3279.99,3271.12,54487214000
6/1/2020,3038.78,2965.66,3233.13,3100.29,72273672000
5/1/2020,2869.09,2766.64,3068.67,3044.31,61411576000
4/1/2020,2498.08,2447.49,2954.86,2912.43,71183389000
3/1/2020,2974.28,2191.86,3136.72,2584.59,95328398000
2/1/2020,3235.66,2855.84,3393.52,2954.22,45245591000
1/1/2020,3244.67,3214.64,3337.77,3225.52,41642589000
12/1/2019,3143.85,3070.33,3247.93,3230.78,36752558000
11/1/2019,3050.72,3050.72,3154.26,3140.98,36870813000
10/1/2019,2983.69,2855.94,3050.1,3037.56,41102825000
9/1/2019,2909.01,2891.85,3021.99,2976.74,38026271000
8/1/2019,2980.32,2822.12,3013.59,2926.46,44182148000
7/1/2019,2971.41,2952.22,3027.98,2980.38,38589599000
6/1/2019,2751.53,2728.81,2964.15,2941.76,40240962000
5/1/2019,2952.33,2750.52,2954.13,2752.06,44288532000
4/1/2019,2848.63,2848.63,2949.52,2945.83,41004943000
3/1/2019,2798.22,2722.27,2860.31,2834.4,46078501000
2/1/2019,2702.32,2681.83,2813.49,2784.49,41413763000
1/1/2019,2476.96,2443.96,2708.95,2704.1,51676851000
12/1/2018,2790.5,2346.58,2800.18,2506.85,52618530000
11/1/2018,2717.58,2631.09,2815.15,2760.17,50522312000
10/1/2018,2926.29,2603.54,2939.86,2711.74,58692278000
9/1/2018,2896.96,2864.12,2940.91,2913.98,39907932000
8/1/2018,2821.17,2796.34,2916.5,2901.52,41996721000
7/1/2018,2704.95,2698.95,2848.03,2816.29,40961038000
6/1/2018,2718.7,2691.99,2791.47,2718.37,46863556000
5/1/2018,2643.64,2594.62,2742.24,2705.27,44387501000
4/1/2018,2633.45,2553.8,2717.49,2648.05,44339282000
3/1/2018,2715.22,2585.89,2801.9,2640.87,49520702000
2/1/2018,2816.45,2532.69,2835.96,2713.83,49680994000
1/1/2018,2683.73,2682.36,2872.87,2823.81,47016764000
12/1/2017,2645.1,2605.52,2694.97,2673.61,39132011000
11/1/2017,2583.21,2557.45,2657.74,2647.58,43412023000
10/1/2017,2521.2,2520.4,2582.98,2575.26,43198854000
9/1/2017,2474.42,2446.55,2519.44,2519.36,39446921000
8/1/2017,2477.1,2417.35,2490.87,2471.65,40576570000
7/1/2017,2431.39,2407.7,2484.04,2470.3,38444882000
6/1/2017,2415.65,2405.7,2453.82,2423.41,48560081000
5/1/2017,2388.5,2352.72,2418.71,2411.8,44654185000
4/1/2017,2362.34,2328.95,2398.16,2384.2,37735945000
3/1/2017,2380.13,2322.25,2400.98,2362.72,47262643000
2/1/2017,2285.59,2271.65,2371.54,2363.64,40740785000
1/1/2017,2251.57,2245.13,2300.99,2278.87,42691599000
12/1/2016,2200.17,2187.44,2277.53,2238.83,40008140000
11/1/2016,2128.68,2083.79,2214.1,2198.81,13899403000
10/1/2016,2164.33,2114.72,2169.6,2126.15,11684815000
9/1/2016,2171.33,2119.12,2187.87,2168.27,13023807000
8/1/2016,2173.15,2147.58,2193.81,2170.95,11454707000
7/1/2016,2099.34,2074.02,2177.09,2173.6,11439985000
6/1/2016,2093.94,1991.68,2120.55,2098.86,14693806000
5/1/2016,2067.17,2025.91,2103.48,2096.96,12496358000
4/1/2016,2056.62,2033.8,2111.05,2065.3,13145299000
3/1/2016,1937.09,1937.09,2072.21,2059.74,14656110000
2/1/2016,1936.94,1810.1,1962.96,1932.23,15830276000
1/1/2016,2038.2,1812.29,2038.2,1940.24,16256144000
12/1/2015,2082.93,1993.26,2104.27,2043.94,14154967000
11/1/2015,2080.76,2019.39,2116.48,2080.41,11798490000
10/1/2015,1919.65,1893.7,2094.32,2079.36,14410190000
9/1/2015,1970.09,1871.91,2020.86,1920.03,15286427000
8/1/2015,2104.49,1867.01,2112.66,1972.18,14503322000
7/1/2015,2067,2044.02,2132.82,2103.84,12184138000
6/1/2015,2108.64,2056.32,2129.87,2063.11,12346647000
5/1/2015,2087.38,2067.93,2134.72,2107.39,10167715000
4/1/2015,2067.63,2048.38,2125.92,2085.51,11149400000
3/1/2015,2105.23,2039.69,2117.52,2067.89,13018356000
2/1/2015,1996.67,1980.9,2119.59,2104.5,10343659000
1/1/2015,2058.9,1988.12,2072.36,1994.99,12047140000
12/1/2014,2065.78,1972.56,2093.55,2058.9,12364231000
11/1/2014,2018.21,2001.01,2075.76,2067.56,9304450000
10/1/2014,1971.44,1820.66,2018.19,2018.05,13974546000
9/1/2014,2004.07,1964.04,2019.26,1972.29,10512696000
8/1/2014,1929.8,1904.78,2005.04,2003.37,8649482000
7/1/2014,1962.29,1930.67,1991.39,1930.67,10073730000
6/1/2014,1923.87,1915.98,1968.17,1960.23,10175998000
5/1/2014,1884.39,1859.79,1924.03,1923.57,9699181000
4/1/2014,1873.96,1814.36,1897.28,1883.95,11695601000
3/1/2014,1857.68,1834.44,1883.97,1872.34,11474553000
2/1/2014,1782.68,1737.92,1867.92,1859.45,10770665000
1/1/2014,1845.86,1770.45,1850.84,1782.59,11740838000
12/1/2013,1806.55,1767.99,1849.44,1848.36,10568798000
11/1/2013,1758.7,1746.2,1813.55,1805.81,9655322000
10/1/2013,1682.41,1646.47,1775.22,1756.54,11680123000
9/1/2013,1635.95,1633.41,1729.86,1681.55,10408247000
8/1/2013,1689.42,1627.47,1709.67,1632.97,10079978000
7/1/2013,1609.78,1604.57,1698.78,1685.73,11191664000
6/1/2013,1631.71,1560.33,1654.19,1606.28,12462410000
5/1/2013,1597.55,1581.28,1687.18,1630.74,11694887000
4/1/2013,1569.18,1536.03,1597.57,1597.57,12164042000
3/1/2013,1514.68,1501.48,1570.28,1569.19,10719776000
2/1/2013,1498.11,1485.01,1530.94,1514.68,10580729000
1/1/2013,1426.19,1426.19,1509.94,1498.11,11634145000
12/1/2012,1416.34,1398.11,1448,1426.19,11056055000
11/1/2012,1412.2,1343.35,1434.27,1416.18,11665885000
10/1/2012,1440.9,1403.28,1470.96,1412.16,11142180000
9/1/2012,1406.54,1396.56,1474.51,1440.67,11125102000
8/1/2012,1379.32,1354.65,1426.68,1406.58,11021329000
7/1/2012,1362.33,1325.41,1391.74,1379.32,12125974000
6/1/2012,1309.87,1266.74,1363.46,1362.16,13748606000
5/1/2012,1397.86,1291.98,1415.32,1310.33,14171819000
