Date,SP_Close,SP_Volume
4/1/2022,4545.86,0
3/1/2022,4530.41,61933208000
2/1/2022,4373.94,50653703000
1/1/2022,4515.55,54612067000
12/1/2021,4766.18,49779279000
11/1/2021,4567,47188041000
10/1/2021,4605.38,41734570000
9/1/2021,4307.54,43063851000
8/1/2021,4522.68,40953482000
7/1/2021,4395.26,41950747000
6/1/2021,4297.5,45608524000
5/1/2021,4204.11,44739836000
4/1/2021,4181.17,44569620000
3/1/2021,3972.89,61183741000
2/1/2021,3811.15,45312810000
1/1/2021,3714.24,51314664000
12/1/2020,3756.07,50012214000
11/1/2020,3621.63,53533033000
10/1/2020,3269.96,51333971000
9/1/2020,3363,55234683000
8/1/2020,3500.31,46125741000
7/1/2020,3271.12,54487214000
6/1/2020,3100.29,72273672000
5/1/2020,3044.31,61411576000
4/1/2020,2912.43,71183389000
3/1/2020,2584.59,95328398000
2/1/2020,2954.22,45245591000
1/1/2020,3225.52,41642589000
12/1/2019,3230.78,36752558000
11/1/2019,3140.98,36870813000
10/1/2019,3037.56,41102825000
9/1/2019,2976.74,38026271000
8/1/2019,2926.46,44182148000
7/1/2019,2980.38,38589599000
6/1/2019,2941.76,40240962000
5/1/2019,2752.06,44288532000
4/1/2019,2945.83,41004943000
3/1/2019,2834.4,46078501000
2/1/2019,2784.49,41413763000
1/1/2019,2704.1,51676851000
12/1/2018,2506.85,52618530000
11/1/2018,2760.17,50522312000
10/1/2018,2711.74,58692278000
9/1/2018,2913.98,39907932000
8/1/2018,2901.52,41996721000
7/1/2018,2816.29,40961038000
6/1/2018,2718.37,46863556000
5/1/2018,2705.27,44387501000
4/1/2018,2648.05,44339282000
3/1/2018,2640.87,49520702000
2/1/2018,2713.83,49680994000
1/1/2018,2823.81,47016764000
12/1/2017,2673.61,39132011000
11/1/2017,2647.58,43412023000
10/1/2017,2575.26,43198854000
9/1/2017,2519.36,39446921000
8/1/2017,2471.65,40576570000
7/1/2017,2470.3,38444882000
6/1/2017,2423.41,48560081000
5/1/2017,2411.8,44654185000
4/1/2017,2384.2,37735945000
3/1/2017,2362.72,47262643000
2/1/2017,2363.64,40740785000
1/1/2017,2278.87,42691599000
12/1/2016,2238.83,40008140000
11/1/2016,2198.81,13899403000
10/1/2016,2126.15,11684815000
9/1/2016,2168.27,13023807000
8/1/2016,2170.95,11454707000
7/1/2016,2173.6,11439985000
6/1/2016,2098.86,14693806000
5/1/2016,2096.96,12496358000
4/1/2016,2065.3,13145299000
3/1/2016,2059.74,14656110000
2/1/2016,1932.23,15830276000
1/1/2016,1940.24,16256144000
12/1/2015,2043.94,14154967000
11/1/2015,2080.41,11798490000
10/1/2015,2079.36,14410190000
9/1/2015,1920.03,15286427000
8/1/2015,1972.18,14503322000
7/1/2015,2103.84,12184138000
6/1/2015,2063.11,12346647000
5/1/2015,2107.39,10167715000
4/1/2015,2085.51,11149400000
3/1/2015,2067.89,13018356000
2/1/2015,2104.5,10343659000
1/1/2015,1994.99,12047140000
12/1/2014,2058.9,12364231000
11/1/2014,2067.56,9304450000
10/1/2014,2018.05,13974546000
9/1/2014,1972.29,10512696000
8/1/2014,2003.37,8649482000
7/1/2014,1930.67,10073730000
6/1/2014,1960.23,10175998000
5/1/2014,1923.57,9699181000
4/1/2014,1883.95,11695601000
3/1/2014,1872.34,11474553000
2/1/2014,1859.45,10770665000
1/1/2014,1782.59,11740838000
12/1/2013,1848.36,10568798000
11/1/2013,1805.81,9655322000
10/1/2013,1756.54,11680123000
9/1/2013,1681.55,10408247000
8/1/2013,1632.97,10079978000
7/1/2013,1685.73,11191664000
6/1/2013,1606.28,12462410000
5/1/2013,1630.74,11694887000
4/1/2013,1597.57,12164042000
3/1/2013,1569.19,10719776000
2/1/2013,1514.68,10580729000
1/1/2013,1498.11,11634145000
12/1/2012,1426.19,11056055000
11/1/2012,1416.18,11665885000
10/1/2012,1412.16,11142180000
9/1/2012,1440.67,11125102000
8/1/2012,1406.58,11021329000
7/1/2012,1379.32,12125974000
6/1/2012,1362.16,13748606000
5/1/2012,1310.33,14171819000
